ticker,company,website,favicon_url
11OK,11OK - Pecatnica 11 Oktomvri Prilep,,
7NOG,7NOG - 7-mi Noemvri Gevgelija,,
ADIN,Ading AD  Skopje,https://ading.com.mk,https://www.google.com/s2/favicons?domain=ading.com.mk&sz=64
AITO,AITO - Aitoniks AD Skopje,https://aitonix.mk,https://www.google.com/s2/favicons?domain=aitonix.mk&sz=64
ALK,Alkaloid AD Skopje,https://alkaloid.com.mk,https://www.google.com/s2/favicons?domain=alkaloid.com.mk&sz=64
AMEH,Agromehanika AD Skopje - dolgorocno suspendirano od kotacija,,
APTK,Angropromet Tikvesanka AD Kavadarci,,
ATPP,ATPP - ATP Proleter Kriva Palanka,,
AUMK,Automakedonija AD Skopje,https://automakedonija.com.mk,https://www.google.com/s2/favicons?domain=automakedonija.com.mk&sz=64
BANA,Rudnici Banani AD Skopje,https://banjani.mk,https://www.google.com/s2/favicons?domain=banjani.mk&sz=64
BGOR,Kristal 1923 AD Veles,https://kristal.com.mk,https://www.google.com/s2/favicons?domain=kristal.com.mk&sz=64
BIM,BIM AD Sveti Nikole,https://bim.com.mk,https://www.google.com/s2/favicons?domain=bim.com.mk&sz=64
BLTU,Blagoj Tufanov AD Radovis - dolgorocno suspendirano od kotacija,,
CBNG,CBNG - Crveni bregovi Negotino,,
CEVI,FZC 11-ti OKTOMVRI AD Kumanovo,https://fzc11oktomvri.com.mk,https://www.google.com/s2/favicons?domain=fzc11oktomvri.com.mk&sz=64
CKB,Centralna kooperativna banka AD Skopje,https://ccbank.mk,https://www.google.com/s2/favicons?domain=ccbank.mk&sz=64
DEBA,Debarski Bani –Capa AD  Debar,https://bdcapa.com,https://www.google.com/s2/favicons?domain=bdcapa.com&sz=64
DIMI,Dimko Mitrev AD Veles,https://dimkomitrev.com.mk,https://www.google.com/s2/favicons?domain=dimkomitrev.com.mk&sz=64
EDST,EDST - Edinstvo Struga,,
ELMA,ELMA - Elmar Stip,,
EUHA,EUHA - Eurohaus AD Skopje,https://www.eurohaus.com.mk,https://www.google.com/s2/favicons?domain=eurohaus.com.mk&sz=64
EVRO,Evropa AD Skopje,https://evropa.com.mk,https://www.google.com/s2/favicons?domain=evropa.com.mk&sz=64
FAKM,FAKOM AD Skopje,https://fakom.com.mk,https://www.google.com/s2/favicons?domain=fakom.com.mk&sz=64
FERS,Fersped AD Skopje,https://fersped.com.mk,https://www.google.com/s2/favicons?domain=fersped.com.mk&sz=64
FKPO,FKPO - FK Pobeda Prilep,https://fkpobeda.mk,https://www.google.com/s2/favicons?domain=fkpobeda.mk&sz=64
FUBT,Fustelarko Borec AD Bitola,https://fustelarko.com.mk,https://www.google.com/s2/favicons?domain=fustelarko.com.mk&sz=64
GIMS,GIMS - Gradezen institut Makedonija AD  Skopje,https://gim.mk,https://www.google.com/s2/favicons?domain=gim.mk&sz=64
GRDN,GRDN - Gradinar AD Ohrid,,
GRNT,Granit AD Skopje,https://granit.com.mk,https://www.google.com/s2/favicons?domain=granit.com.mk&sz=64
GRSN,GRSN - Gradinar Sveti Nikole,,
GRZD,Grozd AD Strumica,https://grozd.mk,https://www.google.com/s2/favicons?domain=grozd.mk&sz=64
GTC,GTC AD Skopje,https://gtcskopje.com.mk,https://www.google.com/s2/favicons?domain=gtcskopje.com.mk&sz=64
GTRG,GTRG - Getro Gostivar,,
GUMA,GUMA - Avtoguma Skopje,https://www.avtoguma.com.mk,https://www.google.com/s2/favicons?domain=avtoguma.com.mk&sz=64
IJUG,IJUG - Institut za zavaruv. Jug Skopje,https://institutjug.mk,https://www.google.com/s2/favicons?domain=institutjug.mk&sz=64
INB,INB - Sparkase banka AD Skopje,https://sparkasse.mk,https://www.google.com/s2/favicons?domain=sparkasse.mk&sz=64
INBR,INBR - INVESTBROKER AD Skopje,https://investbroker.com.mk,https://www.google.com/s2/favicons?domain=investbroker.com.mk&sz=64
INHO,Internesnel Hotels AD Skopje,https://hotelcontinental.com.mk,https://www.google.com/s2/favicons?domain=hotelcontinental.com.mk&sz=64
INOS,INOS - Prajm kapital Skopje,https://primecapital.mk,https://www.google.com/s2/favicons?domain=primecapital.mk&sz=64
INPR,Interpromet AD Tetovo,https://interpromet.mk,https://www.google.com/s2/favicons?domain=interpromet.mk&sz=64
INTP,INTP - Ml Banka AD Skopje,,
KARO,KARO - Karaorman Skopje,https://www.karaorman.com.mk,https://www.google.com/s2/favicons?domain=karaorman.com.mk&sz=64
KJUBI,Makedonija osiguruvane AD Skopje - Viena Insurens Grup,https://insumak.mk,https://www.google.com/s2/favicons?domain=insumak.mk&sz=64
KLST,Klanica so ladilnik AD Strumica,,
KMB,Komercijalna banka AD Skopje,https://kb.mk,https://www.google.com/s2/favicons?domain=kb.mk&sz=64
KOMU,DS Smith AD Skopje,https://www.dssmith.com/mk,https://www.google.com/s2/favicons?domain=dssmith.com&sz=64
KONF,KONF - Konzervna fabrika Strumica,,
KONZ,Fruktal Mak AD Skopje,https://fructal.com.mk,https://www.google.com/s2/favicons?domain=fructal.com.mk&sz=64
KPSS,Fabrika Karpos AD Skopje,https://fabrikakarpos.com.mk,https://www.google.com/s2/favicons?domain=fabrikakarpos.com.mk&sz=64
KVAS,KVAS - Kvasara AD Bitola,,
LOTO,Lotarija na Makedonija AD Skopje,https://lotarija.com.mk,https://www.google.com/s2/favicons?domain=lotarija.com.mk&sz=64
LOZP,Pelisterka AD Skopje,https://pelisterka.mk,https://www.google.com/s2/favicons?domain=pelisterka.mk&sz=64
MAKP,Makpromet AD Stip,https://makpromet.com.mk,https://www.google.com/s2/favicons?domain=makpromet.com.mk&sz=64
MAKS,Makoteks AD Skopje,https://makotex.com.mk,https://www.google.com/s2/favicons?domain=makotex.com.mk&sz=64
MB,MB - Makedonska berza AD Skopje,https://mse.mk,https://www.google.com/s2/favicons?domain=mse.mk&sz=64
MERM,Mermeren kombinat AD Prilep,https://mermeren.com,https://www.google.com/s2/favicons?domain=mermeren.com&sz=64
MKSD,Makosped AD Skopje,https://makosped.com.mk,https://www.google.com/s2/favicons?domain=makosped.com.mk&sz=64
MLKR,MLKR - Mlekara Bitola,https://bimilk.mk,https://www.google.com/s2/favicons?domain=bimilk.mk&sz=64
MODA,Moda AD Sveti Nikole,https://ad-moda.com,https://www.google.com/s2/favicons?domain=ad-moda.com&sz=64
MOKL,MOKL - Mokel EE II AD Bitola,,
MPOL,Hoteli Metropol Ohrid,https://metropol-ohrid.com.mk,https://www.google.com/s2/favicons?domain=metropol-ohrid.com.mk&sz=64
MPT,Makpetrol AD Skopje,https://makpetrol.com.mk,https://www.google.com/s2/favicons?domain=makpetrol.com.mk&sz=64
MTUR,Makedonijaturist AD Skopje,https://makedonijaturist.com.mk,https://www.google.com/s2/favicons?domain=makedonijaturist.com.mk&sz=64
MZHE,Vabtek MZT AD Skopje,,
MZOV,MZOV - MZT Oprema za vozila Skopje,,
MZPU,MZT Pumpi AD Skopje,https://pumpi.com.mk,https://www.google.com/s2/favicons?domain=pumpi.com.mk&sz=64
NEME,Nemetali Ograzden AD Strumica,https://ograzden.com.mk,https://www.google.com/s2/favicons?domain=ograzden.com.mk&sz=64
NOSK,Nova Stokovna kuka AD Strumica,,
OBIN,OBIN - OBD Inko AD Skopje,,
OILK,OILKO KDA Skopje,https://oilco.com.mk,https://www.google.com/s2/favicons?domain=oilco.com.mk&sz=64
OKTA,OKTA AD Skopje,https://okta-elpe.com,https://www.google.com/s2/favicons?domain=okta-elpe.com&sz=64
OPFO,OPFO - Opfolio AD Skopje,https://opfolio.mk,https://www.google.com/s2/favicons?domain=opfolio.mk&sz=64
OPTK,OPTK - Ocna optika Getaldus Skopje,https://getaldus.mk,https://www.google.com/s2/favicons?domain=getaldus.mk&sz=64
ORAN,Oranzerii Hamzali Strumica,https://adoranzerii-hamzali.com.mk,https://www.google.com/s2/favicons?domain=adoranzerii-hamzali.com.mk&sz=64
OSPO,OSPO - Osiguritelna polisa AD Skopje,https://www.ospol.mk,https://www.google.com/s2/favicons?domain=ospol.mk&sz=64
OTEK,OTEK - Oteks Ohrid,,
PALT,PALT - Damjanov AD Delcevo,,
PKB,Pekabesko AD Kadino Ilinden,https://pekabesko.com.mk/mk-mk,https://www.google.com/s2/favicons?domain=pekabesko.com.mk&sz=64
POPK,Popova Kula AD Demir Kapija,https://popovakula.com.mk,https://www.google.com/s2/favicons?domain=popovakula.com.mk&sz=64
PPIV,Prilepska pivarnica AD Prilep,https://prilepskapivarnica.com.mk,https://www.google.com/s2/favicons?domain=prilepskapivarnica.com.mk&sz=64
PROD,PROD - OP Prosvetno Delo Skopje,https://prosvetnodelo.mk,https://www.google.com/s2/favicons?domain=prosvetnodelo.mk&sz=64
RADE,Rade Koncar- Aparatna tehnika AD Skopje,https://radekoncar-ad.com.mk,https://www.google.com/s2/favicons?domain=radekoncar-ad.com.mk&sz=64
REPL,Replek AD Skopje,https://replek.mk,https://www.google.com/s2/favicons?domain=replek.mk&sz=64
RIMI,RIMI - RIMI AD Stip,,
RINS,RINS - Reing AD Skopje,,
RZEK,RZ Ekonomika AD Skopje,https://rzekonomika.com.mk,https://www.google.com/s2/favicons?domain=rzekonomika.com.mk&sz=64
RZIT,RZ Inter-Transsped AD Skopje,https://intertranssped.com.mk,https://www.google.com/s2/favicons?domain=intertranssped.com.mk&sz=64
RZLE,ArcelorMittal (HRM) AD Skopje - dolgorocno suspendirano od kotacija,,
RZLV,Liberti AD Skopje,https://libertysteelgroup.com/mk/,https://www.google.com/s2/favicons?domain=libertysteelgroup.com&sz=64
RZTK,RZ Tehnicka Kontrola AD Skopje,https://rztk.com.mk,https://www.google.com/s2/favicons?domain=rztk.com.mk&sz=64
RZUG,Ugotur AD Skopje,,
RZUS,RZ Uslugi AD Skopje,https://rzu.com.mk,https://www.google.com/s2/favicons?domain=rzu.com.mk&sz=64
SBT,ALTA banka AD Bitola,https://altabanka.com.mk,https://www.google.com/s2/favicons?domain=altabanka.com.mk&sz=64
SDOM,Sovremen dom AD Prilep,https://sovremen-dom.mk,https://www.google.com/s2/favicons?domain=sovremen-dom.mk&sz=64
SIGA,SIGA - SIGAL Insurens Grup AD Skopje,https://sigal.mk,https://www.google.com/s2/favicons?domain=sigal.mk&sz=64
SIL,Sileks AD Kratovo,,
SKP,SKP - Pivara Skopje Skopje,https://pivaraskopje.com.mk,https://www.google.com/s2/favicons?domain=pivaraskopje.com.mk&sz=64
SLAV,Slavej  AD Skopje,https://slavej.com.mk,https://www.google.com/s2/favicons?domain=slavej.com.mk&sz=64
SPAZP,Skopski Pazar AD Skopje,https://skopskipazar.com.mk,https://www.google.com/s2/favicons?domain=skopskipazar.com.mk&sz=64
STB,Stopanska banka AD Skopje,https://stb.com.mk,https://www.google.com/s2/favicons?domain=stb.com.mk&sz=64
STIL,Makstil AD Skopje,https://makstil.com,https://www.google.com/s2/favicons?domain=makstil.com&sz=64
TEAL,TEAL AD  Tetovo,https://teal.mk,https://www.google.com/s2/favicons?domain=teal.mk&sz=64
TEL,Makedonski Telekom AD – Skopje,https://telekom.mk,https://www.google.com/s2/favicons?domain=telekom.mk&sz=64
TETE,Teteks AD Tetovo,https://teteks.com.mk,https://www.google.com/s2/favicons?domain=teteks.com.mk&sz=64
TIKV,GD-TIKVES AD Kavadarci,https://gd-tikves.com,https://www.google.com/s2/favicons?domain=gd-tikves.com&sz=64
TKPR,Tutunski kombinat AD Prilep,https://tkprilep.com.mk,https://www.google.com/s2/favicons?domain=tkprilep.com.mk&sz=64
TKVS,VV Tikves AD Kavadarci,https://tikves.com.mk,https://www.google.com/s2/favicons?domain=tikves.com.mk&sz=64
TNB,NLB Banka AD Skopje,https://nlb.mk,https://www.google.com/s2/favicons?domain=nlb.mk&sz=64
TRDB,Trudbenik AD Ohrid - dolgorocno suspendirano od kotacija,,
TRPS,Patnicki soobrakaj Transkop AD Bitola,https://transkop.mk/index.php,https://www.google.com/s2/favicons?domain=transkop.mk&sz=64
TSMP,Trgotekstil Maloprodazba AD Skopje,https://maloprodazba.com,https://www.google.com/s2/favicons?domain=maloprodazba.com&sz=64
TTK,TTK Banka AD Skopje,https://ttk.com.mk,https://www.google.com/s2/favicons?domain=ttk.com.mk&sz=64
TURT,TURT - Turtel Stip,,
UNI,UNI Banka AD Skopje,https://unibank.mk,https://www.google.com/s2/favicons?domain=unibank.mk&sz=64
USJE,TITAN USJE AD Skopje,https://www.usje.mk,https://www.google.com/s2/favicons?domain=usje.mk&sz=64
VARG,VARG - AD Vardar Gradsko,https://vardargradsko.mk,https://www.google.com/s2/favicons?domain=vardargradsko.mk&sz=64
VENC,VENC - Venec AD Dolni Disan,https://venec.mk,https://www.google.com/s2/favicons?domain=venec.mk&sz=64
VITA,Vitaminka AD Prilep,https://vitaminka.com.mk,https://www.google.com/s2/favicons?domain=vitaminka.com.mk&sz=64
VROS,Triglav Osiguruvane AD Skopje,https://triglav.mk,https://www.google.com/s2/favicons?domain=triglav.mk&sz=64
VTKS,Veteks AD Veles,https://veteks.net,https://www.google.com/s2/favicons?domain=veteks.net&sz=64
ZAS,ZAS AD Skopje,,
ZELE,ZELE - Celicen liv i granulat Zeleznik Demir Hisar,,
ZILU,Zito Luks AD Skopje,https://zitoluks.com.mk,https://www.google.com/s2/favicons?domain=zitoluks.com.mk&sz=64
ZKAR,Zito Karaorman AD Kicevo - dolgorocno suspendirano od kotacija,,
ZLRB,ZLRB - Zlatara Rubin Skopje,,
ZOIL,ZOIL - ALTA osiguruvanje AD Skopje,https://www.altains.mk,https://www.google.com/s2/favicons?domain=altains.mk&sz=64
ZPKO,ZK Pelagonija AD Bitola,https://zkpelagonija.mk,https://www.google.com/s2/favicons?domain=zkpelagonija.mk&sz=64
ZPOG,Zito Polog AD Tetovo,https://zitopolog.com.mk,https://www.google.com/s2/favicons?domain=zitopolog.com.mk&sz=64
ZUAS,ZUAS - ZUAS AD Skopje,,
